APPL_ID,ACC_DATE,Riparian,Pre1914
S021784,09/05/2012,Y,Y
S013021,04/13/1987,Y,
S000419,03/21/1967,Y,Y
S001280,06/23/1967,Y,
S001885,01/01/1967,Y,Y
S002153,01/01/1967,Y,
S010213,08/13/1980,Y,
S010253,01/02/1981,Y,
S010258,02/17/1981,Y,
S002469,07/03/1967,Y,
S002476,07/03/1967,Y,
S012940,03/09/1987,Y,
S013077,04/13/1987,Y,
S013082,04/13/1987,Y,
S002646,01/01/1967,Y,
S002671,07/05/1967,Y,
S013167,03/31/1988,Y,
S002883,01/01/1967,Y,
S010955,06/21/1982,Y,
S013395,05/20/1985,Y,
S003168,01/01/1967,Y,
S011198,04/15/1983,Y,
S013647,03/25/1991,Y,
S013678,03/25/1991,Y,
S013722,07/18/1991,Y,Y
S000459,03/30/1967,Y,Y
S003299,01/01/1967,Y,
S003653,01/01/1967,Y,
S011383,01/18/1984,Y,
S011427,01/08/1985,Y,
S015532,07/28/2004,Y,
S000775,06/02/1967,Y,
S004083,01/01/1968,Y,
S004096,01/01/1968,Y,
S004139,01/01/1968,Y,
S015593,10/26/2004,Y,
S015628,02/06/2004,Y,Y
S015811,09/02/2004,Y,
S001129,01/01/1967,Y,Y
S013813,05/29/1992,Y,
S013909,04/17/1992,Y,
S016037,06/13/2007,Y,
S001245,01/01/1967,Y,
S004298,01/01/1966,Y,
S012027,12/11/1984,Y,
S013967,01/08/1993,Y,
S014089,08/10/1993,Y,
S014090,08/10/1993,Y,
S012069,12/11/1984,Y,
S014140,01/06/1994,Y,
S005049,01/01/1970,Y,
S005133,01/01/1970,Y,
S014427,07/19/1995,Y,
S014487,09/22/1995,Y,
S014498,10/11/1995,Y,
S005470,01/01/1970,Y,
S005708,01/01/1970,Y,
S005748,01/01/1970,Y,
S005895,01/01/1970,Y,
S005981,01/01/1970,Y,
S005997,01/01/1970,Y,
S006210,01/01/1970,Y,
S006509,01/01/1971,Y,
S008820,06/18/1976,Y,
S008830,06/25/1976,Y,
S008870,07/26/1976,Y,Y
S008871,07/23/1976,Y,
S014963,05/21/1998,Y,Y
S015025,09/11/1998,Y,
S006630,01/01/1971,Y,
S007666,01/01/1971,Y,
S007671,01/01/1971,Y,Y
S009229,04/06/1977,Y,
S015123,03/06/2001,Y,
S007899,01/01/1972,Y,
S007929,01/01/1972,Y,
S008066,01/01/1973,Y,
S009380,08/15/1977,Y,
S009390,08/22/1977,Y,
S009490,12/22/1977,Y,
S009500,12/29/1977,Y,
S015263,02/27/2002,Y,
S008235,01/01/1973,Y,
S008248,01/01/1973,Y,
S008274,01/01/1974,Y,
S009707,02/28/1979,Y,
S012521,07/12/1985,Y,
S012621,12/27/1985,Y,
S012684,12/27/1985,Y,
S002230,01/01/1967,Y,
S009881,05/07/1979,Y,
S009890,05/07/1979,Y,
S009977,09/27/1979,Y,
S024779,04/10/2015,Y,
S016449,07/01/2010,Y,Y
S015747,,Y,
S015973,04/18/2006,Y,
S016100,02/01/2008,Y,
S016662,06/28/2011,Y,
S016823,07/06/2011,Y,Y
S017084,06/30/2010,Y,Y
S017188,07/13/2011,Y,Y
S017220,07/26/2011,Y,Y
S016421,06/22/2010,Y,Y
S018963,07/02/2010,Y,Y
S017129,07/01/2010,Y,
S015970,04/20/2006,Y,
S016982,07/02/2010,Y,Y
S017205,06/30/2010,Y,Y
S021223,07/30/2012,Y,Y
S019929,07/12/2012,Y,Y
S021347,08/08/2012,Y,Y
S020954,01/18/2012,Y,
S018756,11/08/2011,Y,
S022062,09/28/2012,Y,
S022270,10/25/2012,Y,
S021937,09/19/2012,Y,Y
S016806,04/02/2012,Y,
S022039,09/26/2012,Y,
S022052,09/27/2012,Y,
S019587,07/02/2012,Y,
S019568,07/03/2012,Y,
S019617,07/05/2012,Y,
S022393,11/28/2012,Y,
S017331,04/24/2012,Y,
S020754,08/02/2012,Y,
S022551,05/06/2013,Y,
S021651,08/27/2012,Y,
S020235,12/22/2011,Y,Y
S018686,02/16/2012,Y,
S020732,07/20/2012,Y,
S019696,01/04/2012,Y,Y
S018102,05/29/2012,Y,
S019945,07/10/2012,Y,
S016803,04/02/2012,Y,
S022582,05/10/2013,Y,
S020156,12/30/2011,Y,Y
S022796,07/17/2013,Y,
S017854,10/17/2011,Y,Y
S023341,10/04/2013,Y,
S020987,03/29/2012,Y,Y
S023352,10/07/2013,Y,
S018614,11/10/2011,Y,
S022819,07/23/2013,Y,
S019222,01/19/2012,Y,
S019845,12/22/2011,Y,
S019928,07/11/2012,Y,
S018694,12/29/2011,Y,Y
S017464,10/04/2011,Y,
S020220,02/24/2012,Y,
S023177,09/20/2013,Y,Y
S018908,12/30/2011,Y,
S019132,11/18/2011,Y,Y
S023072,09/03/2013,Y,Y
S019525,07/02/2012,Y,
S019526,07/02/2012,Y,Y
S020448,08/01/2012,Y,
S019088,12/16/2011,Y,Y
S019089,12/16/2011,Y,Y
S019548,07/03/2012,Y,
S021966,09/21/2012,Y,
S021471,08/15/2012,Y,
S022435,01/29/2013,Y,
S022455,02/05/2013,Y,
S022060,09/27/2012,Y,
S022563,05/08/2013,Y,
S023373,10/08/2013,Y,
S022206,10/22/2012,Y,
S019512,12/19/2011,Y,Y
S018282,07/10/2012,Y,
S022340,11/21/2012,Y,
S020506,07/17/2012,Y,
S020811,12/29/2011,Y,Y
S016738,04/06/2012,Y,
S022406,01/15/2013,Y,
S019465,12/15/2011,Y,Y
S018638,12/29/2011,Y,
S020826,12/29/2011,Y,Y
S016954,04/06/2012,Y,Y
S023414,10/10/2013,Y,
S019142,01/11/2012,Y,Y
S019167,01/11/2012,Y,Y
S022675,05/23/2013,Y,
S019572,07/03/2012,Y,
S023629,10/25/2013,Y,Y
S023806,12/02/2013,Y,
S017498,04/16/2012,Y,Y
S023640,10/28/2013,Y,
S018637,11/10/2011,Y,Y
S020004,02/17/2012,Y,
S023478,10/15/2013,Y,
S019767,12/20/2011,Y,Y
S019246,01/19/2012,Y,
S021050,07/06/2012,Y,Y
S023666,10/29/2013,Y,
S018494,12/09/2010,Y,Y
S022215,10/22/2012,Y,
S020847,01/13/2012,Y,
S016636,03/16/2012,Y,
S022822,07/23/2013,Y,
S023251,09/27/2013,Y,
S023426,10/10/2013,Y,
S019116,11/16/2011,Y,Y
S024834,05/11/2015,Y,
S024801,04/28/2015,Y,
S025110,08/04/2015,Y,
S025005,07/16/2015,Y,
S023968,12/19/2013,Y,
S024869,06/15/2015,Y,Y
S025237,10/21/2015,Y,
S024224,01/21/2014,Y,
S024200,01/21/2014,Y,Y
S020244,03/20/2014,Y,Y
S024596,09/05/2014,Y,Y
S024206,01/21/2014,Y,Y
S024848,05/15/2015,Y,
S024976,07/14/2015,Y,
S025138,08/07/2015,Y,
S025827,10/10/2016,Y,
S025683,08/18/2016,Y,
S025950,12/16/2016,Y,
S025643,08/15/2016,Y,
S025469,05/16/2016,Y,Y
S025574,08/01/2016,Y,Y
S025881,11/02/2016,Y,
S025500,06/15/2016,Y,
S026079,03/10/2017,Y,
S025362,02/11/2016,Y,
S025838,10/11/2016,Y,
S028282,12/13/2019,Y,
S026807,08/11/2017,Y,
S027794,07/16/2018,Y,
S028002,10/19/2018,Y,Y
S027051,08/29/2017,Y,
S028139,05/23/2019,Y,
S027172,09/08/2017,Y,
S026713,08/07/2017,Y,
S028062,12/28/2018,Y,Y
S026198,06/13/2017,Y,
