"","APPL_ID"
"1","D029613R"
"2","C000854"
"3","S009697"
"4","A027928"
"5","S010925"
"6","S001852"
"7","S020322"
"8","S019352"
"9","S020494"
"10","S021190"
"11","S018872"
"12","S021455"
"13","S020501"
"14","S020520"
"15","S020426"
"16","S021293"
"17","S020980"
"18","S019213"
"19","S021298"
"20","S021370"
"21","S022238"
"22","S009090"
"23","S018983"
"24","S002954"
"25","A025080"
"26","A030984"
"27","S019977"
"28","C005349"
"29","F007016S"
"30","A018551"
"31","A022296"
"32","S012365"
"33","A031647"
"34","S020078"
"35","S024226"
"36","A005155"
"37","A008469"
"38","S002870"
"39","A024296C"
"40","S016528"
"41","S019630"
"42","S020927"
"43","S020934"
"44","S020048"
"45","S020542"
"46","S018129"
"47","S018140"
"48","S020962"
"49","S018170"
"50","S021401"
"51","S021526"
"52","S024067"
"53","S024164"
"54","S024176"
"55","S024260"
"56","S024206"
"57","S024288"
"58","S024296"
"59","D030876R"
"60","A028480"
"61","A021253A"
"62","S018547"
"63","S016500"
"64","S020602"
"65","S020661"
"66","S018548"
"67","S018555"
"68","S019912"
"69","S019473"
"70","S018165"
"71","S015968"
"72","S019920"
"73","S018143"
"74","S021674"
"75","S023269"
"76","S022273"
"77","S022622"
"78","A013064"
"79","S019110"
"80","S020892"
"81","S019270"
"82","S019113"
"83","S017097"
"84","S019094"
"85","S020856"
"86","A024296C"
"87","S018642"
"88","S021669"
"89","S020270"
"90","S018562"
"91","S022062"
"92","S022184"
"93","S023087"
"94","S010859"
"95","F007072S"
"96","A015141"
"97","A029478"
"98","A022877"
"99","A018830"
"100","A000880C"
"101","S018541"
"102","S018564"
"103","S020657"
"104","S019175"
"105","S019512"
"106","S020076"
"107","S018586"
"108","S020903"
"109","S018936"
"110","S020082"
"111","S019746"
"112","S021645"
"113","S020038"
"114","S018365"
"115","S022213"
"116","S022147"
"117","S023196"
"118","A004472"
"119","A018523C"
"120","F000181S"
"121","S018569"
"122","S020410"
"123","S020991"
"124","S019418"
"125","S020127"
"126","S020415"
"127","S020223"
"128","S019448"
"129","S019302"
"130","S018689"
"131","S021143"
"132","S021411"
"133","S021132"
"134","S021261"
"135","S023281"
"136","S022022"
"137","S023349"
"138","A026931"
"139","A016733A"
"140","A005248"
"141","S005714"
"142","T031672"
"143","A019613"
"144","S004960"
"145","S009191"
"146","A031001"
"147","A021253"
"148","S001499"
"149","S001114"
"150","S006764"
"151","D031456R"
"152","C004716"
"153","C001967"
"154","S010960"
"155","S009341"
"156","A008720"
"157","A003206"
"158","A027599"
"159","A009952"
"160","A009199"
"161","A011910"
"162","S010469"
"163","A026023"
"164","S012499"
"165","S013884"
"166","Z001986"
"167","A011365"
"168","A026042"
"169","S004750"
"170","C004420"
